Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Enzers,https://www.crunchbase.com/organization/enzers,Private,For Profit,"Consumer Goods, E-Commerce",1-10,"Turin, Piemonte, Italy","187,629",,"176,997",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,LVenture Group,110000,EUR,130008,Pre-Seed,110000,EUR,130008,Pre-Seed,110000,EUR,130008,2021-09-08,Seed,1,"Ali Sleiman, David Constantin Mihalache",2,"Commerce and Shopping, Consumer Goods",,,,,,"Enzers creates everyday eco-friendly sustainable products without plastic and water, in solid detergent tabs.",,founders@enzers.com,https://www.linkedin.com/company/72410820,https://www.enzers.com,,,,,2021-09-28,day,Active,"Enzers creates everyday household products in refillable containers, and aims to eliminate plastic waste from domestic products.",,10125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Holifya,https://www.crunchbase.com/organization/holifya,Private,For Profit,"Fitness, Health Diagnostics, Wellness",1-10,"Milano, Lombardia, Italy","187,794",,"177,262",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,"Exor Ventures, Growth Engine, B4i - Bocconi for innovation",500000,EUR,534128,Pre-Seed,500000,EUR,534128,Pre-Seed,500000,EUR,534128,2023-02-20,Seed,1,Alessandra Cestaro,1,"Health Care, Sports",,,,,,"Holifya is a platform for digital health and wellness with a personalized and scientific approach, based on your genetic profile, biomarkers, habits, and goals. They leverage technology and advanced data analysis methods (such as machine learning) to support the doctor or nutritionist in the creation of an increasingly personalized, 360-degree food and health and wellness plan.",+39 333 2736542,privacy@holifya.com,https://www.linkedin.com/company/holifya,https://holifya.com,,,,,2021-01-01,year,Active,Holifya serves in the health-tech field and offers a personalized service.,,20151,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SQUARE,https://www.crunchbase.com/organization/square-44d8,Private,For Profit,"Advertising Platforms, Fashion, Mobile Apps, Social Media Advertising, Social Media Marketing",1-10,"Milan, Lombardia, Italy","188,027",,"177,374",,,11,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,1,,,,100000,EUR,115082,Pre-Seed,100000,EUR,115082,Pre-Seed,100000,EUR,115082,2019-01-10,Seed,1,Davide Di Santo,1,"Advertising, Apps, Clothing and Apparel, Design, Mobile, Sales and Marketing, Software",,,,,,"Founded as a boutique modelling agency in the main fashion capital like Milan, SQUARE has grown fast his business into scouting & managing new faces all over Europe and as an end-to-end production agency. The focus nowadays shifted to digital and social media, turning the company in a One-of-a-kind community where influential fashion models & brands meet to generate high quality engaging social media contents at scale.",,contact@squaremm.com,https://www.linkedin.com/company/square-milano/,https://squaremm.com,,,,,2019-02-14,day,Active,"SQUARE is reshaping the fashion content production process, making it smarter and cost effective.",,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Impus,https://www.crunchbase.com/organization/impus,Private,For Profit,"Big Data, Natural Language Processing, Personal Development, Psychology, Training",1-10,"Milan, Lombardia, Italy","189,064",,"178,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,EUR,21692,Pre-Seed,20000,EUR,21692,Pre-Seed,20000,EUR,21692,2020-04-02,Seed,1,"Andrea Luzardi, Luca Crugnola",2,"Artificial Intelligence (AI), Data and Analytics, Education, Health Care, Software",,,,,,,,l.crugnola@impus.net,https://www.linkedin.com/company/impus/about/?viewAsMember=true,http://impus.net/,,,,,2020-01-01,year,Active,Impus allows you to improve your soft-skills through personalized growth paths,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Aroundrs,https://www.crunchbase.com/organization/aroundrs,Private,For Profit,"Apps, Food and Beverage, Packaging Services, Sharing Economy, Software, Sustainability, Waste Management",1-10,"Florence, Toscana, Italy","189,148",,"178,550",,,11,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,"Invitalia, Regione Toscana, Fondazione CRT, Toscana Innovazione",63000,EUR,70959,,,,,Grant,20000,EUR,21341,2023-09-15,,5,"Alberto Garuccio, Daniele Cagnazzo, Giulia Zanatta",3,"Administrative Services, Apps, Food and Beverage, Other, Software, Sustainability",,,,,,"Aroundrs is the first italian startup that provide smart and reusable packaging for food and beverage industry. We unlock a zero waste lifestyle through our APP, connecting restaurants and consumers and boosting a reusable circular economy business model.",+39 3485238415  / +39 3462102577,hello@aroundrs.com,https://www.linkedin.com/company/75864423/,https://aroundrs.com,,,,,2021-01-01,year,Active,Aroundrs is a startup that provides smart and reusable packaging for food and beverage industry.,,50121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Lokky,https://www.crunchbase.com/organization/lokky,Private,For Profit,"Insurance, InsurTech, Small and Medium Businesses",11-50,"Milano, Lombardia, Italy","189,223",,"178,622",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3884998,EUR,4020719,Equity Crowdfunding,2699998,EUR,2704707,Equity Crowdfunding,2699998,EUR,2704707,2022-11-07,,6,"Paolo Tanfoglio, Sauro Mostarda",2,"Financial Services, Other",,,,,,"Lokky is the first Italian Digital Insurance Broker focusing on more than 6 million entrepreneurs and micro-enterprises with less than 10 employees (artisans, commercials, professionals, freelances, F&B retailers, …). The offer includes the main P&C insurance coverages for business.",+39 02 3656 9230,info@lokky.it,https://www.linkedin.com/company/lokky/,http://www.lokky.it,,,,,2018-02-26,day,Active,"Lokky is a digital insurance services company for small businesses, professionals, and freelancers.",$1M to $10M,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
DIALYBRID,https://www.crunchbase.com/organization/dialybrid,Private,For Profit,"Biotechnology, Finance, Medical",1-10,"Cantu, Lombardia, Italy","189,823",,"179,083",,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,LIFTT,300000,EUR,356163,Seed,300000,EUR,356163,Seed,300000,EUR,356163,2020-07-30,Seed,1,,,"Biotechnology, Financial Services, Health Care, Science and Engineering",,,,,,"Dialybrid provide product that include silkothane arteriovenous graft, SAG biomimetic nanostructure, and situ tissue engineering products. Their proprietary innovative technology, silkothane, is a hybrid material combining silk fibroin and polyurethane. Their aim is to develop a novel semi-degradable vascular access for hemodialysis.",+39 031 7377739,info@dialybrid.com,,https://dialybrid.com,,,,,2018-01-01,year,Active,"Dialybrid provides research, development concerning, and bio-hybrid materials for novel medical devices.",,22063,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AdvisorEat,https://www.crunchbase.com/organization/advisoreat,Private,For Profit,"Food and Beverage, Loyalty Programs",1-10,"Milan, Lombardia, Italy","189,896",,"179,268",,,7,,,,,,,,,,,,,,Acquihire,,,,2021-07-15,day,Satispay,https://www.crunchbase.com/organization/satispay,AdvisorEat acquired by Satispay,https://www.crunchbase.com/acquisition/satispay-acquires-advisoreat--01de8413,Was Acquired,,1,,Ithaca Investments,650000,EUR,744998,Seed,650000,EUR,744998,Seed,650000,EUR,744998,2019-01-01,M&A,1,"Andrea Travaglia, Stefano Travaglia",2,"Food and Beverage, Sales and Marketing",,,,,,"AdvisorEat is a developer of a loyalty program application designed to reserve seats for consultants and professionals. They provide credits for gift cards for the main e-shops or use them to make charitable donations. Their services include consulting, managing, and providing professionals for firms.",,info@advisoreat.com,https://www.linkedin.com/company/advisoreat,https://advisoreat.com,,,2021-07-15,day,2018-01-01,year,Active,AdvisorEat provides loyalty software for restaurants.,,20019,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Politically,https://www.crunchbase.com/organization/politically,Private,For Profit,"Accounting, Blockchain, FinTech, Funding Platform",1-10,"Milano, Lombardia, Italy","189,892",,"179,150",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Fin+Tech,50000,EUR,60810,Pre-Seed,50000,EUR,60810,Pre-Seed,50000,EUR,60810,2021-01-13,Seed,1,"Alessandro Negri della Torre, Andrea De Cillis, Claudio Cubito, Elisa Serafini, Simone Bressan",5,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Professional Services",,,,,,Politically is the first online platform for transparent and digital political fundraising campaigns. Politically is based on blockchain.,,info@politc-ally.it,https://www.linkedin.com/company/politically/,https://politic-ally.it,,,,,2021-08-01,day,Active,Politically is the first online fundraising platform for political campaigns. Based on blockchain.,Less than $1M,20100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Monophases,https://www.crunchbase.com/organization/monophases,Private,For Profit,"Consulting, GreenTech, Retail Technology, Wholesale",11-50,"Merano, Trentino-Alto Adige, Italy","190,132",,"179,382",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,EUR,56036,Seed,50000,EUR,56036,Seed,50000,EUR,56036,2019-05-26,Seed,1,"Akash Sharma, Damian Eder, Nando Knodel",3,"Commerce and Shopping, Hardware, Professional Services, Software, Sustainability",,,,,,"We are a GreenTech Start-Up, building inclusive solutions to support green development. We work on technological solutions for the empowerment of the supply chain, specifically the production, processing and trade of agricultural commodities. We focus on superior crops that have the potential to outrun conventional & unsustainable crops. Our approach is the holistic utilisation of every part of the plant. We have the vision of a circular supply chain and want to contribute to its realisation",+39 340 743 2039,info@monophases.com,https://www.linkedin.com/company/monophases-srl/about/,https://monophases.com/,,,,,2019-01-27,day,Active,"Sustainability. Circularity. Technology. We are a GreenTech Start-Up, building inclusive solutions to support green development.",Less than $1M,39012,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Beesy,https://www.crunchbase.com/organization/beesy,Private,For Profit,"Financial Services, FinTech, Information Technology",11-50,"Milan, Lombardia, Italy","191,010",,"180,327",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,"Fabrick, finleap",2400000,USD,2400000,Seed,2400000,USD,2400000,Seed,2400000,USD,2400000,2018-07-23,Seed,1,,,"Financial Services, Information Technology",,,,,,"They know that it takes a lot to be self-employed and be fully responsible for your own future. With all the trouble on your mind to build your business, it seems like having a second job when you need to deal with the Italian bureaucracy. That's why they created Beesy - an easy way to manage your finances in one place. With banking, invoicing and digital accounting in a single tool, they aim to reduce the unnecessary complexity of running a business in today's world. With Beesy, they'd like you to be able to feel at ease when it comes to your finances so that you can focus your energy on what really matters.",,support@beesy.it,,https://www.beesy.it/en,,,,,2018-05-01,month,Active,Digital financial solutions for the Italian SME market,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
FoxRent,https://www.crunchbase.com/organization/ciro-6328,Private,For Profit,"Automotive, Blockchain, Cryptocurrency, Rental",1-10,"Pescara, Abruzzi, Italy","191,071",,"180,285",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Enry's Island SpA,60000,EUR,65640,Pre-Seed,60000,EUR,65640,Pre-Seed,60000,EUR,65640,2019-09-28,Seed,1,"Ciro Virgilio, Davide Virgilio, Maria Milano",3,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Other, Payments, Software, Transportation",,,,,,"FoxRent is an innovative platform dedicated to the rental of commercial vehicles. It was born from a group of entrepreneurs who have been working in this sector for 25 years to meet the growing needs of the Rental and Customers. FoxRent allows every commercial vehicle to be continuously on the move, improving the customer experience and boosting rental revenues. As a further step towards innovation, there is the FoxCoin, the proprietary cryptocurrency of the platform, with which it is possible to carry out safe and convenient transactions.",,info@foxrent.co,https://www.linkedin.com/company/foxrent-co/,http://www.foxrent.co,,,,,2019-09-13,day,Active,Foxrent is the first Italian renting platform dedicated exclusively to the rental of commercial vehicles,Less than $1M,65122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Pathway,https://www.crunchbase.com/organization/pathway-d07e,Private,For Profit,EdTech,1-10,"L'aquila, Abruzzi, Italy","191,941",,"181,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"Startupbootcamp, PLAI Accelerator",145600,EUR,156326,Seed,145600,EUR,156326,Seed,145600,EUR,156326,2024-07-01,Seed,1,William Lattanzi,1,"Education, Software",,,,,,"Pathway S.r.l. is an AI-powered ed-tech company revolutionizing language exam preparation, starting with IELTS. Unlike traditional learning platforms that rely on static exercises and generic study plans, Pathway integrates contextual artificial intelligence, creating a personalized and adaptive learning experience for each student. At the heart of Pathway’s approach is its real-time AI tutor, which provides instant, tailored feedback on two of the most challenging IELTS components: speaking and writing. While most test prep solutions focus on passive learning—offering only mock exams and pre-recorded lessons—Pathway leverages AI to simulate real exam conditions, analyzing user responses and suggesting precise improvements. This interactive and dynamic methodology ensures students optimize their study time and maximize their scores with efficient, targeted practice. Beyond its innovative B2C model, Pathway is also developing a B2B offering for language schools and educational institutions, enabling them to integrate AI-driven learning into their existing curriculums. This makes Pathway a scalable and future-proof solution, not just for IELTS preparation but for a broader range of language certification exams. By combining cutting-edge AI, adaptive learning models, and a next-generation user experience, Pathway S.r.l. is redefining test preparation. It is not just a course, but an AI-powered learning ecosystem, designed to empower students and educators alike, delivering smarter, faster, and more effective language learning.",,info@basement11.com,https://www.linkedin.com/company/pathway-edu/,https://www.way2ielts.com,,,,,2024-06-12,day,Active,Pathway is an AI-powered ed-tech company,,67100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Viamadeinitaly,https://www.crunchbase.com/organization/viamadeinitaly,Private,For Profit,"Commercial, E-Commerce, Internet, Marketplace, Wholesale",1-10,"Padova, Veneto, Italy","192,287",,"181,436",,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,B4i - Bocconi for innovation,30000,EUR,34159,Pre-Seed,30000,EUR,34159,Pre-Seed,30000,EUR,34159,2020-03-08,Seed,1,"Marco Mutto, Marco Reiter, Tommaso Zanin",3,"Commerce and Shopping, Internet Services, Other",,,,,,"VIAMADEINITALY is one of Italy’s leading B2B marketplaces to simplify Italian wholesale. Today only 20% of Italian producers export their products. Viamadeinitaly supports Italian companies in finding them new International Buyers and at the same time sets itself the goal to promote and digitalize the excellence of Made in Italy. Hence providing generations of Italian wholesale producers a global platform to present their companies and sell their products online. On VIAMADEINITALY brands, retail shops and buyers have the chance to find an Italian manufacturer for their product needs, both ready-to-wear as well as Private Label. Viamadeinitaly has the mission to cover all areas that represent the core of Italian Fashion and Design such as shoes, garment, accessories, leather goods, furniture and many more. Thousands of International Buyers are using the platform daily to source Italian products.",,info@viamadeinitaly.com,https://www.linkedin.com/company/viamadeinitaly,https://www.viamadeinitaly.com,,,,,2019-02-01,month,Active,"One of Italy's leading B2B marketplaces, connecting daily hundreds of International Buyers to Italian Suppliers.",,35020,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
